gene_name,alteration_frequency
Y_RNA,98.85126964933495
SNORA70,97.85368802902056
Metazoa_SRP,97.30955259975816
U3,96.37243047158404
U6,96.03990326481258
U8,95.16324062877872
5S_rRNA,94.6795646916566
U4,94.25634824667472
U7,94.25634824667472
SNORA62,93.31922611850061
SNORA72,92.50302297460702
SNORA63,89.8428053204353
7SK,89.2986698911729
SNORD116,88.30108827085853
U2,85.03627569528416
SNORD33,82.37605804111246
AL161793.1,80.9552599758162
AL512306.2,80.9552599758162
RNA5SP74,80.9552599758162
LRRN2,80.9552599758162
AL161793.2,80.92503022974607
RNA5SP75,80.89480048367594
AL606489.1,80.89480048367594
AL512306.3,80.89480048367594
AL512306.1,80.89480048367594
MDM4,80.89480048367594
PIK3C2B,80.89480048367594
PPP1R15B,80.89480048367594
AL606489.2,80.8645707376058
AC096675.1,80.80411124546553
PLEKHA6,80.80411124546553
AL592114.3,80.80411124546553
AL592114.1,80.80411124546553
LINC00628,80.80411124546553
TMEM183A,80.71342200725515
CYB5R1,80.71342200725515
ADIPOR1,80.71342200725515
GOLT1A,80.71342200725515
AC096632.1,80.71342200725515
MGAT4FP,80.71342200725515
KISS1,80.68319226118501
LINC01724,80.68319226118501
MYOG,80.65296251511487
ADORA1,80.65296251511487
AC105940.2,80.65296251511487
AC105940.1,80.65296251511487
REN,80.65296251511487
AL592114.2,80.65296251511487
PPFIA4,80.62273276904473
AC099336.2,80.62273276904473
NFASC,80.62273276904473
PPP1R12B,80.62273276904473
KLHDC8A,80.62273276904473
NUAK2,80.62273276904473
RBBP5,80.5925030229746
KIF21B,80.5925030229746
CNTN2,80.5925030229746
TMEM81,80.5925030229746
AL583832.1,80.5925030229746
ERLNC1,80.5925030229746
ETNK2,80.5925030229746
ASCL5,80.5925030229746
CACNA1S,80.5925030229746
AL358473.2,80.5925030229746
AL358473.1,80.5925030229746
RNU6-704P,80.5925030229746
SNRPGP10,80.5925030229746
TMCC2,80.5925030229746
MROH3P,80.5925030229746
INAVA,80.5925030229746
AC104463.2,80.5925030229746
CAMSAP2,80.5925030229746
DDX59-AS1,80.5925030229746
AL391822.1,80.5925030229746
AL359834.1,80.56227327690448
AL592146.2,80.56227327690448
LINC00303,80.56227327690448
LEMD1-AS1,80.56227327690448
NR5A2,80.56227327690448
LEMD1,80.56227327690448
SOX13,80.56227327690448
KLHL12,80.56227327690448
RPL34P6,80.56227327690448
AL353072.1,80.56227327690448
MIR4735,80.56227327690448
GPR25,80.56227327690448
LINC01136,80.53204353083434
HNRNPA1P59,80.53204353083434
AL359837.1,80.53204353083434
FMOD,80.53204353083434
RNU6-487P,80.53204353083434
BTG2,80.53204353083434
CHIT1,80.53204353083434
RABIF,80.53204353083434
KIF14,80.53204353083434
NPM1P40,80.53204353083434
DDX59,80.53204353083434
MYBPH,80.53204353083434
CHI3L1,80.53204353083434
LINC01353,80.53204353083434
LEMD1-DT,80.53204353083434
ZNF281,80.53204353083434
CDK18,80.53204353083434
KCNT2,80.53204353083434
MIR135B,80.53204353083434
AL445687.1,80.53204353083434
RNU6-778P,80.53204353083434
AL445687.2,80.53204353083434
AC104461.1,80.53204353083434
AC104463.1,80.53204353083434
BLACAT1,80.53204353083434
TMEM9,80.50181378476421
ACTG1P25,80.50181378476421
TUBA5P,80.50181378476421
KDM5B,80.50181378476421
AC098934.1,80.50181378476421
SLC25A39P1,80.50181378476421
PCAT6,80.50181378476421
LINC00862,80.50181378476421
AC097065.2,80.50181378476421
MGAT4EP,80.50181378476421
SYT2,80.50181378476421
AC098934.2,80.50181378476421
AL592146.1,80.50181378476421
AC093422.1,80.50181378476421
DSTYK,80.50181378476421
AC093422.2,80.47158403869408
MFSD4A,80.47158403869408
RNU2-19P,80.47158403869408
NEK7,80.47158403869408
TMCC2-AS1,80.47158403869408
AL513348.1,80.47158403869408
AC097065.1,80.47158403869408
RNU6-570P,80.47158403869408
LHX9,80.47158403869408
RNU6-609P,80.47158403869408
SLC45A3,80.47158403869408
LINC01031,80.47158403869408
AC099336.1,80.47158403869408
NUCKS1,80.47158403869408
PRR13P1,80.47158403869408
EEF1A1P32,80.47158403869408
ZC3H11A,80.44135429262394
ELK4,80.44135429262394
RNU6-418P,80.44135429262394
PRELP,80.44135429262394
OPTC,80.44135429262394
ATP2B4,80.44135429262394
LARP7P1,80.44135429262394
RNU6-716P,80.44135429262394
NSA2P1,80.44135429262394
SNORA77,80.44135429262394
LAX1,80.44135429262394
CBX1P3,80.44135429262394
HSPE1P6,80.44135429262394
CCNQP1,80.44135429262394
AC096633.1,80.44135429262394
AL596266.1,80.44135429262394
RPL35AP5,80.44135429262394
SNRPE,80.44135429262394
KRT8P29,80.44135429262394
RNU6-89P,80.44135429262394
