Gene Symbol,Alteration Frequency
NFASC,77.87037037037037
LRRN2,77.87037037037037
RNA5SP74,77.87037037037037
MDM4,77.87037037037037
RNA5SP75,77.77777777777779
PIK3C2B,77.77777777777779
SCARNA20|ENSG00000251861.1,77.77777777777779
PLEKHA6,77.77777777777779
PPP1R15B,77.77777777777779
SNORD112|ENSG00000252946.1,77.5925925925926
GOLT1A,77.5925925925926
KISS1,77.5925925925926
REN,77.5
CNTN2,77.5
TMEM81,77.5
RBBP5,77.5
LEMD1,77.5
FAM72A,77.4074074074074
ETNK2,77.4074074074074
SOX13,77.4074074074074
DSTYK,77.4074074074074
KLHDC8A,77.4074074074074
MIR135B,77.4074074074074
NUCKS1,77.4074074074074
SNORA72|ENSG00000201944.1,77.4074074074074
PM20D1,77.4074074074074
CDK18,77.4074074074074
TMCC2,77.31481481481481
MFSD4,77.31481481481481
ELK4,77.31481481481481
SLC45A3,77.31481481481481
RAB7L1,77.31481481481481
SLC41A1,77.31481481481481
NUAK2,77.31481481481481
PPP1R12B,77.31481481481481
SLC26A9,77.22222222222223
C1orf186,77.22222222222223
CNIH3,77.22222222222223
SYT2,77.22222222222223
SNORA70|ENSG00000253042.1,77.22222222222223
ATP2B4,77.22222222222223
SRGAP2,77.22222222222223
LINC00303,77.22222222222223
CTSE,77.22222222222223
C1orf132,77.12962962962962
CD34,77.12962962962962
AVPR1B,77.12962962962962
SNORD60|ENSG00000252692.1,77.12962962962962
ADIPOR1,77.12962962962962
TMEM183A,77.12962962962962
CYB5R1,77.12962962962962
PRELP,77.12962962962962
OPTC,77.12962962962962
ARL8A,77.12962962962962
GPR37L1,77.12962962962962
SNORA77|ENSG00000221643.1,77.12962962962962
LAX1,77.12962962962962
ZBED6,77.12962962962962
ZC3H11A,77.12962962962962
SNRPE,77.12962962962962
DNAH14,77.12962962962962
CHI3L1,77.03703703703704
CHIT1,77.03703703703704
BTG2,77.03703703703704
FMOD,77.03703703703704
CD46,77.03703703703704
MYBPH,77.03703703703704
PTPN7,77.03703703703704
TMEM9,77.03703703703704
ZNF281,77.03703703703704
LINC00862,77.03703703703704
NR5A2,77.03703703703704
SHISA4,77.03703703703704
LMOD1,77.03703703703704
LGR6,77.03703703703704
ADORA1,77.03703703703704
U6|ENSG00000272262.1,77.03703703703704
KDM5B,77.03703703703704
RABIF,77.03703703703704
KLHL12,77.03703703703704
PPFIA4,77.03703703703704
CNST,77.03703703703704
AHCTF1,77.03703703703704
SMYD3,77.03703703703704
SCCPDH,77.03703703703704
C1orf65,77.03703703703704
SNORA25|ENSG00000252011.1,77.03703703703704
MIR29B2,77.03703703703704
MIR29C,77.03703703703704
PKP1,77.03703703703704
TFB2M,77.03703703703704
SNORD112|ENSG00000252495.1,77.03703703703704
YOD1,76.94444444444444
snoU13|ENSG00000239046.1,76.94444444444444
snoU13|ENSG00000238571.1,76.94444444444444
IL24,76.94444444444444
PTPRVP,76.94444444444444
FAIM3,76.94444444444444
PIGR,76.94444444444444
FCAMR,76.94444444444444
C1orf116,76.94444444444444
snoU13|ENSG00000238401.1,76.94444444444444
IPO9,76.94444444444444
SUSD4,76.94444444444444
IL20,76.94444444444444
C4BPB,76.94444444444444
NAV1,76.94444444444444
RPS10P7,76.94444444444444
CSRP1,76.94444444444444
PHLDA3,76.94444444444444
TNNI1,76.94444444444444
CACNA1S,76.94444444444444
ASCL5,76.94444444444444
C4BPA,76.94444444444444
IGFN1,76.94444444444444
PFKFB2,76.94444444444444
UBE2T,76.94444444444444
IL19,76.94444444444444
DYRK3,76.94444444444444
TNNT2,76.94444444444444
MYOG,76.94444444444444
TLR5,76.94444444444444
RASSF5,76.94444444444444
EIF2D,76.94444444444444
IL10,76.94444444444444
PCAT6,76.94444444444444
KCNT2,76.94444444444444
CFH,76.94444444444444
MIR320B2,76.85185185185185
CAPN8,76.85185185185185
FBXO28,76.85185185185185
DEGS1,76.85185185185185
SNORA72|ENSG00000201898.1,76.85185185185185
LAD1,76.85185185185185
MAPKAPK2,76.85185185185185
NVL,76.85185185185185
LBR,76.85185185185185
WDR26,76.85185185185185
TIMM17A,76.85185185185185
ENAH,76.85185185185185
SNORD112|ENSG00000252853.1,76.85185185185185
CR1L,76.85185185185185
MIR1231,76.85185185185185
IKBKE,76.85185185185185
C1orf147,76.85185185185185
MIR5191,76.85185185185185
ESRRG,76.85185185185185
KIF21B,76.85185185185185
LYST,76.85185185185185
LINC00184,76.85185185185185
RN7SL668P,76.85185185185185
SLC35F3,76.85185185185185
KIF26B,76.85185185185185
MIR4735,76.85185185185185
CFHR1,76.85185185185185
