sample,avg_log_fold_change
ARHGEF10L,-0.3972657894736843
HIF3A,-4.805098245614034
RNF17,-0.29847894736842107
RNF10,0.14208245614035084
RNF11,-0.3800447368421052
RNF13,-0.23496315789473685
GTF2IP1,0.05328333333333337
REM1,-1.3999929824561403
MTVR2,-0.1298473684210526
RTN4RL2,1.0810271929824566
C16orf13,0.7857754385964913
C16orf11,0.2135719298245614
FGFR1OP2,-0.40587105263157897
TSKS,-1.5710596491228075
ATRX,-0.20895614035087715
PMM2,0.917844736842105
LOC100272146,-0.17541491228070175
ASS1,-1.1741578947368416
NCBP1,0.47694736842105273
ZNF709,-0.06729298245614031
ZNF708,-0.1903666666666667
RBM14,0.21496315789473694
NCBP2,0.3587947368421052
DISC1,-0.6245447368421053
CAMK1,-1.3219526315789476
RPL37,-0.35442631578947353
SPR,0.7390087719298247
ZNF700,0.1669754385964912
ZNF707,0.7104017543859648
CAMK4,0.8198543859649122
ZNF704,-0.8347043859649118
LOC339240,-0.09178421052631577
GOLGA6B,-0.3937701754385963
RNF115,0.4378035087719297
RNF112,-1.6523859649122805
ZC3H14,-0.12422719298245614
SPN,-0.0655947368421053
HMGCLL1,-2.4462271929824566
NACAP1,-0.3485535087719298
LRRTM1,-0.7638947368421052
GRIN1,0.11480526315789474
RBMY1A3P,0.0
DHX8,0.15963245614035101
DHX9,0.38414736842105257
LOC441204,-0.7696561403508771
TCOF1,0.23928771929824558
LRRTM3,-0.45317280701754376
NUP98,-0.02148508771929824
XPC,-0.48150701754385994
SLC12A2,-0.5258587719298247
GRINA,0.5743289473684208
LRRTM2,-2.662114912280701
NUP93,0.3300956140350877
HAP1,-2.227365789473685
KLRA1,-0.8860728070175439
CAMKV,-0.1520973684210526
SPPL3,0.023012280701754404
GOLIM4,-0.08000789473684221
ZNF646,0.34281666666666666
OPA3,-0.05408070175438599
OPA1,0.1464184210526315
RHEB,0.22071929824561418
RAB40C,0.7220649122807016
RAB40B,-0.7346570175438598
RAB40A,-0.731211403508772
COL7A1,-0.8091131578947371
MDP1,0.0034728070175438844
GTSE1,2.8422078947368417
FAM183A,0.9234447368421055
ARFRP1,0.023554385964912265
OVCH1,-0.7228210526315793
FAM183B,0.0784342105263158
PSAP,0.10266666666666655
KIAA0831,-0.4518666666666668
SPPL2A,0.261630701754386
SLC46A1,-0.460217543859649
TGFBR2,-2.0941868421052634
ITGA8,-0.5940587719298244
ITGA9,-1.4693938596491227
STK40,-0.5712780701754385
MYO3B,0.911182456140351
ATP2A1,0.22695438596491221
ATP2A2,0.2113657894736843
ATP2A3,0.9466956140350876
ITGA1,-0.7667964912280698
ITGA2,-0.31826403508771917
ITGA3,-0.6870859649122806
ITGA4,0.4959342105263157
ITGA5,0.295057894736842
ITGA6,-1.1298728070175443
ITGA7,-3.5707736842105255
TRHR,-0.13320087719298246
LOC100132288,-0.5764991228070176
DENND4A,-0.31650087719298253
DENND4B,-0.08556754385964906
DENND4C,-0.5499561403508774
SWAP70,-0.5494929824561408
RARRES1,-1.2346210526315793
LOC100132287,-0.29055350877192976
PHLDA3,-0.9051289473684212
PHLDA2,0.9282859649122808
