,avg_delta_beta
LINC00165,0.4174630434782609
RP11-365O16.1,0.4087371376811593
CTD-2187J20.1,0.39482065217391316
RP3-503A6.2,0.3822016304347827
RP11-69M1.3,0.377579347826087
ARHGAP42P1,0.372028804347826
RP11-23F23.3,0.3704228260869565
ZNF728,0.35936286231884057
HOTAIRM1_2,0.3587258152173912
RP11-21L23.4,0.3507413043478261
RP11-158M2.2,0.3390217391304348
AC090952.1,0.33822391304347826
RNA5SP243,0.3381782608695652
HOTAIRM1_4,0.3298048007246377
HOTAIRM1_5,0.3298048007246377
RP11-264L1.4,0.32942699275362314
RNA5SP77,0.32775989130434785
RNU6-951P,0.3262576086956522
AC004837.4,0.32461173913043473
CTA-392C11.1,0.32273641304347833
HOTAIRM1_3,0.3206870341614907
RNVU1-8,0.31597690217391305
RP11-434I12.4,0.3135872282608695
RP11-295P9.8,0.31316358695652174
RP11-85O21.5,0.31203396739130435
RP11-95F22.1,0.3104614906832298
MIR663A,0.3069854347826087
CTC-523E23.14,0.30681108695652176
ZNF444P1,0.3048284420289855
RP11-738B7.1,0.3042313858695653
RP11-60A24.3,0.3026963043478261
HOTAIR_3,0.3007347826086956
RN7SL160P,0.2990842391304348
MIR3649,0.29896159420289853
ZNF154,0.2964419960474308
AP003356.1,0.29633695652173914
AC021205.1,0.2948023550724638
RP11-352M15.1,0.2947307971014493
RP1-193H18.3,0.29288206521739124
RP11-849I19.1,0.29250485933503834
CTD-3065J16.6,0.29140795454545454
TRH,0.28824235248447205
OR2I1P,0.28739599378881986
AC007680.2,0.2866728260869565
CCDC181,0.2858522735507246
AP001891.1,0.285518152173913
AP001046.6,0.28526752717391307
RP3-438O4.4,0.2852480978260869
HIST3H2BA,0.2851375543478261
RP11-637O19.2,0.28490773221343874
SNORD123,0.28224746376811594
RP11-445F12.2,0.27998541666666665
MIR663AHG,0.27978329216073783
RP11-349F21.1,0.27938858695652175
LINC00577,0.27919921497584543
PTGES3P2,0.2787438405797102
RP11-797A18.3,0.2778896739130435
RP11-527D7.1,0.27763333333333323
HIST2H3PS2,0.2766323369565218
CTC-537E7.3,0.27654239130434777
RP11-49O14.2,0.27592663043478255
CH17-140K24.1,0.27548695652173916
AC114788.1,0.2743826086956522
GS1-72M22.1,0.27288762939958594
RP11-263K19.6,0.2725244565217391
RP11-1070A24.2,0.2723266304347826
POU4F2,0.2710567028985507
RP11-495P10.6,0.27088713768115946
CTC-451A6.5,0.26883532608695654
CTC-457E21.9,0.26883532608695654
SYCP1,0.2688201863354037
FOXD4L6,0.2684673913043478
MIR9-1,0.26683297101449277
COX11P1,0.2666539855072464
CTC-444N24.9,0.2660244565217392
RP11-149I23.3,0.26583478260869564
RP11-15H20.2,0.2655645380434783
RP3-370M22.8,0.2653961956521739
MIR129-2,0.2653829192546584
CPXM1,0.2637
RNY1P1,0.2633413043478261
GCM2,0.26328475241545896
IFNL4P1,0.2629020531400966
RP11-580I1.2,0.26244782608695655
RHOQP3,0.2610829347826087
RP11-714M23.2,0.2608935461956522
RP4-742J24.2,0.25923271221532085
AC004837.3,0.2589019151138717
RP11-679B17.2,0.2583815217391305
MIR5193,0.2572608695652173
TCF24,0.2572329580745341
SOX17,0.2570724637681159
POU4F1,0.2561800831202046
HIST1H4F,0.25426856884057975
HOXD8,0.25423409735349717
IL21R-AS1,0.2537046195652174
RP11-561B11.3,0.2535211956521739
PRKRIRP7,0.25346086956521746
RP11-689P11.2,0.2533157608695652
AC138647.1,0.25241195652173914
NRIP2,0.252292352484472
RP11-304F15.7,0.25226358695652173
RP3-453P22.2,0.25209347826086953
RP11-52L5.6,0.2517493206521739
AL662797.1,0.2516317546583851
FOXG1,0.25137976011994
NETO1,0.25134985177865615
NOP56P1,0.25130163043478265
AC007099.1,0.2512847826086956
AL021918.2,0.25122945652173917
CTD-2540B15.9,0.25105339673913046
RP11-227D2.3,0.2508797924901186
PCAT4,0.25054945652173916
NKAPL,0.250024414715719
RP11-521O16.1,0.24981838768115947
RP11-521O16.2,0.24981838768115947
NEUROD1,0.24968795766590388
SYNE1-AS1,0.24940588768115943
RP11-68I18.10,0.24921343167701868
MED15P3,0.24763750000000004
RP11-492E3.51,0.24692119565217394
RP11-546B8.6,0.24673848505434784
BARHL2,0.2465811061381075
ADAM5,0.2464656832298137
PAUPAR,0.24641114130434777
NKX2-4,0.24609316770186337
NKX2-6,0.2459933423913043
NKX1-1,0.24517571070234115
AL021918.1,0.24490985054347833
RN7SL471P,0.24443722826086955
AL662791.1,0.24443722826086955
AC007906.1,0.24436576086956527
MIR124-2,0.24407380434782605
MIR6504,0.2440244565217391
LINC01509,0.24388478260869564
RP11-297J22.1,0.2438586956521739
SIX6,0.2436116106719368
NKX2-2-AS1,0.2436085144927537
RP11-424M24.3,0.2433885869565217
RP11-676J15.1,0.2431987648221344
RP11-318A15.8,0.24297255434782608
AC008063.3,0.24273206521739127
FERD3L,0.24237524154589368
HOXB13-AS1_1,0.24174204545454553
TAGLN,0.2415640625
POU3F3,0.2409184782608696
RP11-255G12.3,0.24053913043478264
CTC-543D15.3,0.24045670289855076
RP11-510C10.3,0.24031164596273288
CTD-3074O7.2,0.2399866304347826
RNU2-37P,0.23964521739130443
ITPRIPL1,0.23963595317725755
RP11-42A4.1,0.23959184782608695
UTF1,0.23943840579710143
AC007966.1,0.2391756521739131
RP11-368P15.1,0.23841141304347827
HMGN1P20,0.23767010869565217
PTF1A,0.23717228260869563
TLX3,0.23667915760869568
CSDAP1,0.23615902777777772
ZNF177,0.2357584782608696
EFCAB14P1,0.23550858695652171
AC007326.9,0.23534021739130434
EID3,0.23524687499999994
SALRNA1,0.23503885869565216
AC093887.1,0.2345283695652174
INA,0.2344578804347826
CCDC8,0.23421400966183578
RNU6-1175P,0.2339828804347826
AC011239.2,0.23364013975155276
TRAJ7,0.23304076086956518
CTC-525D6.2,0.23299415760869566
RP11-75C10.6,0.23280434782608694
CTD-2201E18.5,0.23229021739130434
RNU6-664P,0.2320277173913044
PPP1R14BP2,0.2320277173913044
HSPB2,0.23181024247491636
RP11-44I10.3,0.23173722826086954
CHCHD4P3,0.23031413043478258
TSPAN9-IT1,0.2298421195652174
RP5-998N21.10,0.22958885869565215
RP5-998N21.7,0.22958885869565215
NEFH,0.22917101449275365
ATP6V0CP1,0.2290288043478261
RP11-89K21.2,0.2285647342995169
MIR195,0.22849601449275364
AC009967.3,0.22784782608695656
RP11-497E19.1,0.22744523657289
CTD-2291D10.3,0.22743687888198752
GALR1,0.22740867691154423
AC012531.25,0.22725548330745338
CSTA,0.22721711956521737
RP11-122K13.7,0.22715375
RP11-609D21.3,0.2271407907310081
AP001046.5,0.22713360507246377
U91328.2,0.22707327075098813
RHOQP2,0.22672826086956516
LINC01354,0.2266778985507246
RP11-934B9.3,0.2253349256292906
RP11-12A2.3,0.2253059782608696
MIR584,0.22528782608695655
CTC-529P8.1,0.22528782608695655
RP11-51B23.3,0.22526413043478263
RP5-1018K9.1,0.22514402173913042
RP11-443B7.3,0.22495788043478263
HIST1H4I,0.22477567934782608
SPARCL1,0.22473600543478256
CARTPT,0.22471827075098813
CTD-2377D24.4,0.22463849637681155
HOXA4,0.2245512140603086
EPHX3,0.22441399856138106
RP11-53M11.5,0.22435556020066888
CCDC36,0.2243223429951691
BHLHE23,0.2239063405797101
RP11-417O18.2,0.2238195652173913
AC079154.1,0.22371452569169964
RP4-712E4.1,0.2235107312252964
RP11-358H18.3,0.223269384057971
RP11-358H18.2,0.223269384057971
HOXD-AS2,0.22317324641128472
RP11-554A11.9,0.22297300724637684
RP11-585P4.6,0.2229143342391304
GLIPR1L1,0.2229143342391304
AJ003147.8,0.22211717391304345
SOX1,0.22207979678638945
AC016543.1,0.2219315217391304
PFN3,0.22184852484472045
LINC01529,0.22179239130434783
ANGPTL2,0.22139930124223603
RP11-115D7.3,0.22125045289855075
TAC1,0.22119821428571435
AC003986.5,0.22101761508951404
CTC-239J10.1,0.22096479468599037
RP11-726G23.2,0.22057255434782608
GYPC,0.22033673913043475
FOXD1-AS1,0.2201273097826087
ABCB10P4,0.22004891304347823
GHSR,0.22001059782608695
CTD-2298J14.2,0.21977399068322984
CTC-523E23.6,0.21956847826086956
CTC-523E23.15,0.21956847826086956
MAGI2-AS3,0.21950550974512745
CTC-359M8.1,0.21940925271739128
AC017048.1,0.21936304347826083
NPBWR1,0.21896249104156715
MIR3193,0.21864402173913047
LINC00506,0.2186188664596273
KCNE3,0.2184087944664032
RP11-256I23.3,0.2182625
RP11-510C10.2,0.21821409400598618
C8orf88,0.21792201086956522
NKX2-1,0.217613487515753
CRISP2,0.2174519927536232
MIR4783,0.2173820652173913
SPARC,0.2172760416666667
CYP4F36P,0.21713749999999998
EIF1AXP1,0.2170372282608696
RP11-111A21.1,0.21686358695652172
GSX1,0.21639824168797953
PCDH8,0.2163408695652174
